REF_DATE,GEO,DGUID,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,32 years,Persons,249,units ,0,v1060794311,70.1.41,80622,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,33 years,Persons,249,units ,0,v1060794312,70.1.42,81861,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,34 years,Persons,249,units ,0,v1060794313,70.1.43,83714,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,35 to 39 years,Persons,249,units ,0,v1060794314,70.1.44,439083,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,35 years,Persons,249,units ,0,v1060794315,70.1.45,87367,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,36 years,Persons,249,units ,0,v1060794316,70.1.46,87419,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,37 years,Persons,249,units ,0,v1060794317,70.1.47,88069,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,38 years,Persons,249,units ,0,v1060794318,70.1.48,88295,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,39 years,Persons,249,units ,0,v1060794319,70.1.49,87933,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,40 to 44 years,Persons,249,units ,0,v1060794320,70.1.50,475639,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,40 years,Persons,249,units ,0,v1060794321,70.1.51,91660,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,41 years,Persons,249,units ,0,v1060794322,70.1.52,96113,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,42 years,Persons,249,units ,0,v1060794323,70.1.53,97926,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,43 years,Persons,249,units ,0,v1060794324,70.1.54,97213,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,44 years,Persons,249,units ,0,v1060794325,70.1.55,92727,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,45 to 49 years,Persons,249,units ,0,v1060794326,70.1.56,428410,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,45 years,Persons,249,units ,0,v1060794327,70.1.57,91501,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,46 years,Persons,249,units ,0,v1060794328,70.1.58,89154,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,47 years,Persons,249,units ,0,v1060794329,70.1.59,84680,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,48 years,Persons,249,units ,0,v1060794330,70.1.60,82726,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,49 years,Persons,249,units ,0,v1060794331,70.1.61,80349,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,50 to 54 years,Persons,249,units ,0,v1060794332,70.1.62,359274,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,50 years,Persons,249,units ,0,v1060794333,70.1.63,77617,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,51 years,Persons,249,units ,0,v1060794334,70.1.64,75799,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,52 years,Persons,249,units ,0,v1060794335,70.1.65,71568,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,53 years,Persons,249,units ,0,v1060794336,70.1.66,68624,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,54 years,Persons,249,units ,0,v1060794337,70.1.67,65666,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,55 to 59 years,Persons,249,units ,0,v1060794338,70.1.68,307616,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,55 years,Persons,249,units ,0,v1060794339,70.1.69,64135,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,56 years,Persons,249,units ,0,v1060794340,70.1.70,62704,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,57 years,Persons,249,units ,0,v1060794341,70.1.71,60845,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,58 years,Persons,249,units ,0,v1060794342,70.1.72,60025,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,59 years,Persons,249,units ,0,v1060794343,70.1.73,59907,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,60 to 64 years,Persons,249,units ,0,v1060794344,70.1.74,221883,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,60 years,Persons,249,units ,0,v1060794345,70.1.75,49898,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,61 years,Persons,249,units ,0,v1060794346,70.1.76,46054,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,62 years,Persons,249,units ,0,v1060794347,70.1.77,44331,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,63 years,Persons,249,units ,0,v1060794348,70.1.78,42358,,,,0
